cos	Xa_OC_233	Xd_OC_211	Ma_OC_132	Md_OC_207	Mt_OC_244	Xa_OH_233	Xd_OH_211	Ma_OH_132	Md_OH_207	Mt_OH_244	
-1.000000	0.060086	0.066351	0.000000	0.000000	0.000000	0.060086	0.085308	0.000000	0.618357	0.049180	
-0.800000	0.094421	0.104265	0.045455	0.019324	0.000000	0.111588	0.123223	0.022727	0.285024	0.295082	
-0.600000	0.085837	0.104265	0.060606	0.086957	0.000000	0.115880	0.109005	0.045455	0.091787	0.278689	
-0.400000	0.085837	0.075829	0.166667	0.091787	0.000000	0.120172	0.099526	0.090909	0.004831	0.151639	
-0.200000	0.068670	0.061611	0.166667	0.140097	0.004098	0.111588	0.094787	0.060606	0.000000	0.168033	
0.000000	0.042918	0.047393	0.189394	0.130435	0.053279	0.120172	0.104265	0.159091	0.000000	0.053279	
0.200000	0.077253	0.085308	0.053030	0.154589	0.168033	0.072961	0.104265	0.121212	0.000000	0.004098	
0.400000	0.051502	0.056872	0.075758	0.115942	0.209016	0.060086	0.066351	0.151515	0.000000	0.000000	
0.600000	0.137339	0.142180	0.083333	0.149758	0.229508	0.133047	0.104265	0.121212	0.000000	0.000000	
0.800000	0.296137	0.255924	0.159091	0.111111	0.336066	0.094421	0.109005	0.227273	0.000000	0.000000	
