cos	Xa_OC_233	Xd_OC_211	Ma_OC_132	Md_OC_207	Mt_OC_244	Xa_OH_233	Xd_OH_211	Ma_OH_132	Md_OH_207	Mt_OH_244	
-1.000000	0.008584	0.023697	0.000000	0.000000	0.000000	0.025751	0.037915	0.000000	0.410628	0.000000	
-0.900000	0.051502	0.042654	0.000000	0.000000	0.000000	0.034335	0.047393	0.000000	0.207729	0.049180	
-0.800000	0.042918	0.056872	0.000000	0.009662	0.000000	0.064378	0.052133	0.007576	0.173913	0.118852	
-0.700000	0.051502	0.047393	0.045455	0.009662	0.000000	0.047210	0.071090	0.015152	0.111111	0.176230	
-0.600000	0.034335	0.052133	0.030303	0.043478	0.000000	0.068670	0.047393	0.007576	0.082126	0.176230	
-0.500000	0.051502	0.052133	0.030303	0.043478	0.000000	0.047210	0.061611	0.037879	0.009662	0.102459	
-0.400000	0.042918	0.028436	0.090909	0.053140	0.000000	0.064378	0.042654	0.037879	0.004831	0.065574	
-0.300000	0.042918	0.047393	0.075758	0.038647	0.000000	0.055794	0.056872	0.053030	0.000000	0.086066	
-0.200000	0.042918	0.028436	0.098485	0.067633	0.000000	0.047210	0.042654	0.037879	0.000000	0.106557	
-0.100000	0.025751	0.033175	0.068182	0.072464	0.004098	0.064378	0.052133	0.022727	0.000000	0.061475	
0.000000	0.012876	0.018957	0.075758	0.067633	0.020492	0.042918	0.075829	0.075758	0.000000	0.045082	
0.100000	0.030043	0.028436	0.113636	0.062802	0.032787	0.077253	0.028436	0.083333	0.000000	0.008197	
0.200000	0.030043	0.042654	0.015152	0.053140	0.081967	0.047210	0.052133	0.075758	0.000000	0.004098	
0.300000	0.047210	0.042654	0.037879	0.101449	0.086066	0.025751	0.052133	0.045455	0.000000	0.000000	
0.400000	0.034335	0.023697	0.060606	0.053140	0.086066	0.034335	0.014218	0.060606	0.000000	0.000000	
0.500000	0.017167	0.033175	0.015152	0.062802	0.122951	0.025751	0.052133	0.090909	0.000000	0.000000	
0.600000	0.064378	0.071090	0.030303	0.082126	0.114754	0.055794	0.033175	0.083333	0.000000	0.000000	
0.700000	0.072961	0.071090	0.053030	0.067633	0.114754	0.077253	0.071090	0.037879	0.000000	0.000000	
0.800000	0.158798	0.127962	0.068182	0.067633	0.200820	0.060086	0.066351	0.143939	0.000000	0.000000	
0.900000	0.137339	0.127962	0.090909	0.043478	0.135246	0.034335	0.042654	0.083333	0.000000	0.000000	
