run	Cl2_0	Cl2_1	Cl2_2	Cl2_3	Cl2_4	Cl2_5	Cl2_6	Cl2_7	Cl2_8	Cl2_9	Cl3_0	Cl3_1	Cl3_2	Cl3_3	Cl3_4	Cl3_5	Cl3_6	Cl3_7	Cl3_8	Cl3_9	Cl4_0	Cl4_1	Cl4_2	Cl4_3	Cl4_4	Cl4_5	Cl4_6	Cl4_7	Cl4_8	Cl4_9	Cl5_0	Cl5_1	Cl5_2	Cl5_3	Cl5_4	Cl5_5	Cl5_6	Cl5_7	Cl5_8	Cl5_9	Cl6_0	Cl6_1	Cl6_2	Cl6_3	Cl6_4	Cl6_5	Cl6_6	Cl6_7	Cl6_8	Cl6_9	Cl7_0	Cl7_1	Cl7_2	Cl7_3	Cl7_4	Cl7_5	Cl7_6	Cl7_7	Cl7_8	Cl7_9	Cl8_0	Cl8_1	Cl8_2	Cl8_3	Cl8_4	Cl8_5	Cl8_6	Cl8_7	Cl8_8	Cl8_9	Cl9_0	Cl9_1	Cl9_2	Cl9_3	Cl9_4	Cl9_5	Cl9_6	Cl9_7	Cl9_8	Cl9_9	ClR_0	ClR_1	ClR_2	ClR_3	ClR_4	ClR_5	ClR_6	ClR_7	ClR_8	ClR_9	ClS_0	ClS_1	ClS_2	ClS_3	ClS_4	ClS_5	ClS_6	ClS_7	ClS_8	ClS_9	ClT_0	ClT_1	ClT_2	ClT_3	ClT_4	ClT_5	ClT_6	ClT_7	ClT_8	ClT_9	
0	0.273483	0.412703	0.248218	0.263118	0.687400	0.322515	0.256466	0.216862	0.520477	0.290252	0.767166	1.015939	1.249844	0.984281	0.592159	0.676194	0.446816	0.645297	1.416963	0.473011	1.093827	0.818161	1.031640	0.856138	1.299850	0.730321	1.113294	1.302390	0.824339	1.294571	2.884504	1.860039	0.801349	1.231258	1.851632	1.426296	1.084597	1.051875	1.312067	1.794562	1.040302	1.316817	1.885613	1.504957	1.707206	1.079850	2.892528	1.219684	1.408521	1.228491	2.281837	2.495804	2.678558	2.016278	1.662522	1.745393	1.712284	0.989032	1.365750	2.116222	1.439470	11.627145	12.474449	2.787833	2.876772	2.157730	6.614000	1.881651	2.358264	2.722789	2.165593	3.091715	2.848786	2.619849	1.877653	2.704099	2.723549	2.440657	7.117308	6.067360	2.457242	3.002303	14.201855	7.728075	2.470430	2.683147	2.624431	2.908905	7.102215	2.470485	10.015935	2.604623	11.794732	11.295332	3.010454	2.596354	13.677644	9.074079	11.497732	2.743228	5.782306	2.873945	18.332973	12.037386	2.724735	12.169476	10.788979	2.813793	19.886638	7.711973	
1	0.313069	0.272330	0.410582	0.302463	0.327261	0.388403	0.407318	0.634594	0.314282	0.237014	0.382648	0.530724	0.593610	0.791072	1.017960	0.807515	0.676540	0.739460	0.876528	0.407101	1.099273	0.934514	1.730873	1.052003	1.254135	1.123305	1.874572	1.270079	1.046740	1.689466	1.842205	1.020414	0.702807	0.934138	1.298996	0.911943	1.123035	0.925305	1.641943	1.169685	1.490999	2.370430	2.530653	1.565343	1.427534	0.853099	1.580408	0.901758	0.927187	1.694790	1.285298	1.777695	1.633246	1.414117	2.146664	1.366385	2.051329	1.263320	1.505292	2.371404	2.916967	7.118451	9.228676	2.528945	2.762532	5.007791	9.241723	1.962531	8.130516	1.379502	1.896833	2.993406	2.853803	2.915601	1.620057	2.668352	1.917039	1.812485	9.118798	8.739450	12.147954	2.402256	17.454890	8.055942	10.858991	2.739292	11.346806	2.494398	14.351551	2.581238	14.012172	9.433263	12.899004	17.288510	11.156832	10.834173	15.870272	10.844112	14.361969	2.867117	12.788665	9.132650	19.873284	14.773992	12.163019	17.321768	14.216544	11.706968	20.822442	17.800831	
2	0.447465	0.287506	0.475684	0.477353	0.302650	0.364623	0.347846	0.344315	0.455950	0.287942	0.476429	0.261867	0.641538	0.561513	0.499639	0.610283	0.570946	0.454105	0.531339	0.937152	1.393337	0.730816	1.011757	1.660312	1.052683	0.845207	1.177531	1.128124	1.442425	0.670382	1.428975	1.814561	1.686672	1.519369	1.507688	0.698082	1.937877	2.263702	0.996471	1.370099	1.371174	2.025983	2.363168	1.604324	1.955293	1.637079	1.322655	1.903113	1.276834	1.317334	1.362434	1.738742	1.882808	1.844543	2.601377	1.154949	1.810737	0.911068	1.524657	2.070137	2.756866	7.812592	9.870318	8.514024	2.826132	7.948576	8.809243	1.663526	9.425146	1.274842	2.587792	10.918090	3.223457	11.694657	1.919174	10.588138	2.447602	1.970451	12.072120	12.097844	7.892810	10.091701	16.061333	7.485778	13.089176	9.910078	11.700789	2.563919	7.588473	9.626172	15.517947	11.166770	13.125377	15.835801	17.213631	15.383942	15.584641	9.216057	19.647176	2.723310	13.981900	12.066604	14.999518	14.363284	8.629790	20.743798	13.377921	7.829141	15.102434	15.490291	
3	0.327519	0.307574	0.343789	0.578222	0.461168	0.236335	0.644254	0.327804	0.299516	0.418677	0.341034	0.531897	0.560551	0.756236	0.468956	1.045430	0.885043	0.825948	0.434942	0.431641	0.904729	0.652712	0.769462	0.709828	1.114746	0.934818	0.834699	1.322178	1.469497	0.872534	1.050414	0.956411	1.109625	1.670802	1.915462	1.102804	1.314896	1.262876	1.377309	1.906826	1.630717	1.508872	2.300417	1.609517	1.543611	1.102540	1.060528	1.640371	1.090200	1.532051	2.626424	2.290524	1.175433	1.441332	1.370846	1.553116	2.203482	1.967367	1.270961	2.562870	6.518602	10.199546	10.431862	6.316116	9.555009	10.818561	9.454723	1.935660	9.032378	1.958063	8.894334	9.559419	6.610354	10.275395	2.820112	11.539169	2.690106	1.840724	7.365148	7.832059	9.000938	9.228733	13.712945	14.372005	13.704628	13.065355	11.988904	12.074881	5.203460	11.615759	14.337406	14.895411	14.189531	14.442609	18.205946	15.971622	12.492224	8.362615	18.167181	3.393770	13.406221	12.681258	14.950244	17.515252	15.778654	15.572902	9.747698	11.533178	15.706967	18.288964	
4	0.400816	0.471994	0.297144	0.294929	0.492097	0.419663	0.442311	0.429889	0.674185	0.315665	0.378458	1.016980	1.077266	0.528507	0.671779	0.575808	0.770528	0.429024	0.408240	0.459283	0.847359	1.148584	1.827320	0.850028	0.927421	1.340919	0.878385	1.679677	0.669332	0.720035	1.245789	1.600574	1.215395	1.749923	1.238004	1.596566	1.320090	1.564339	1.265715	1.136750	1.313952	1.496572	1.463095	1.201880	0.920195	1.583301	1.283546	1.006697	0.905221	1.604182	1.250432	1.631514	1.992393	1.356529	1.142371	1.726390	1.146826	2.292177	1.123150	2.300371	4.288128	10.505713	11.802911	7.186365	10.398646	10.178599	5.668965	1.251149	7.640085	1.682201	12.735897	9.208479	12.941141	8.796016	2.125564	10.555835	2.468431	2.020493	9.988864	12.679361	11.611371	8.001298	14.392116	15.070264	11.135220	15.303026	12.518932	9.692253	10.976804	3.211729	7.598253	10.981793	15.922519	13.435583	16.285894	14.504399	10.475079	5.579608	15.758072	14.596164	15.889370	15.776592	19.470860	12.488719	8.581281	13.207273	11.745165	16.768042	14.097154	17.220282	
5	0.219118	0.526467	0.450170	0.358982	0.300531	0.479348	0.354840	0.225613	0.317364	0.360630	0.653413	0.861463	0.548482	0.851732	1.183571	0.579385	0.488759	0.514351	0.540741	0.463376	0.653966	0.770665	0.659491	0.943359	0.811172	0.655608	1.338231	0.690425	0.687526	0.633588	1.241442	1.180213	1.594207	1.100458	1.415357	1.407443	1.463474	1.735416	2.167405	0.889839	1.428793	2.134235	0.919898	1.214224	1.055669	1.051109	1.226662	1.028466	1.210913	1.502647	2.204876	1.126541	2.499827	1.671893	2.038745	2.127946	1.714095	1.657271	1.827273	5.561849	7.352847	7.933663	9.555281	8.131219	7.356571	11.454711	6.410173	2.023326	8.869353	1.406207	9.726894	9.017260	12.036976	5.841318	2.566913	10.278823	4.901497	2.275142	11.326146	4.830872	11.301945	11.991754	14.642065	13.870629	10.481111	12.419524	8.247492	10.698333	10.837644	7.987381	10.895674	16.940395	18.005132	12.917121	16.331571	16.169836	14.300579	8.787196	15.029147	10.139424	16.963878	18.541037	17.631784	18.598841	12.068593	18.967810	14.972979	15.909044	21.968967	18.916981	
6	0.301331	0.509340	0.612194	0.705874	0.303816	0.436974	0.302999	0.331314	0.823741	0.568914	1.573232	0.458128	0.489470	1.272395	0.829396	0.850107	0.414041	0.865667	0.757258	0.941401	1.179319	1.010146	0.891886	1.720741	1.119774	0.952993	1.352047	1.061544	0.978754	1.291172	0.801041	1.314328	1.008300	1.347763	1.108645	1.697057	0.967291	1.356359	1.108420	1.800502	2.551592	1.200271	1.535940	1.137189	1.739973	0.714712	1.813650	1.656851	1.259087	2.025640	1.705589	1.445684	2.572760	2.654536	1.991508	1.687361	1.955524	1.041263	1.725072	7.279341	5.926871	11.330808	13.530023	12.082136	7.395430	8.136904	13.460455	2.823832	4.440005	2.271396	13.755059	9.262053	9.048796	7.365949	8.751169	12.520070	7.602057	1.437159	10.984241	9.357761	13.623412	12.337385	15.449733	9.437046	11.172372	15.118715	12.101344	7.439898	6.570900	14.891712	13.214784	11.742593	17.321090	16.765924	14.537559	14.623347	11.832941	7.646454	15.399435	9.291315	16.279437	17.760777	19.956315	18.548737	13.908043	17.781499	17.273079	17.208313	18.220052	16.463348	
7	0.381981	0.306947	0.356261	0.249547	0.602184	0.930786	0.268603	0.326530	0.238547	0.569987	0.363097	0.618536	0.842279	0.643153	0.551551	0.378091	0.878106	0.841067	0.517308	0.615404	1.172155	0.969208	1.097874	1.498965	1.111782	0.908330	1.136178	1.116551	1.033194	1.456516	0.681829	0.657754	1.156677	0.806606	0.963029	1.449633	1.538154	1.723804	1.914577	1.208023	1.098848	1.475378	1.627591	1.223345	2.262757	1.492169	1.563300	2.437977	1.826489	1.289792	1.307942	1.370257	2.098721	2.488756	1.671886	1.291907	2.459363	1.672177	1.900749	7.254001	7.746887	10.435230	6.918931	8.358708	5.713892	6.525109	8.833367	1.755362	9.933569	1.269367	9.605321	10.930685	12.487886	3.964051	10.644304	7.515258	4.691371	1.711178	11.650519	8.072294	14.801909	9.562191	17.478282	9.874841	13.360700	15.716905	15.635859	7.411507	8.188275	13.166418	11.115005	8.100474	13.761038	13.640414	16.571212	13.980595	14.395641	7.228881	15.643879	8.211293	15.715857	14.118346	17.925099	15.204795	14.897821	16.765753	9.466863	14.415925	15.157482	18.086249	
8	0.252288	0.290925	0.573699	0.499193	0.254744	0.367657	0.268707	0.525082	0.550904	0.597386	0.652974	1.212849	0.316238	0.438775	0.648197	0.451536	0.620247	1.044485	0.930077	0.956792	0.728676	0.800079	0.973719	0.709232	0.848169	0.889835	1.225537	1.228960	0.552330	0.790231	2.536684	1.570073	0.808132	0.831527	0.737666	1.233495	1.292101	1.076249	1.083345	1.119220	1.729736	2.254427	1.584049	1.306697	2.386843	1.429270	1.760284	2.903835	1.192985	1.398652	2.265400	1.737963	2.105380	1.865390	2.834601	2.109481	2.385872	0.905221	1.460834	2.813014	4.077122	9.362856	7.895361	5.428145	2.111223	10.503635	7.383985	2.014790	8.837597	2.038975	11.820002	9.016874	8.753319	4.652864	9.918919	7.885714	7.963264	1.292398	11.056158	10.253177	12.436529	12.028087	12.179795	10.492768	14.030572	15.448492	12.821898	10.744285	10.887051	12.830800	14.143094	11.785726	12.032816	16.233051	17.794709	14.887563	11.725267	18.904454	10.981445	9.430374	18.019113	11.158472	17.839972	17.388367	16.051613	12.087062	7.887609	17.780630	8.937016	18.228637	
9	0.331756	1.065719	0.399320	0.523263	0.513251	0.276550	0.249582	0.456865	0.373415	0.629877	0.476085	0.808464	0.766770	0.391057	0.578324	0.261543	0.732432	0.665210	0.674439	0.658674	1.631473	0.664180	0.989562	0.706542	1.294517	1.189509	0.715730	0.910105	0.759754	0.925222	1.062438	1.362414	1.094740	1.090239	0.756936	1.501952	1.055328	0.780112	1.300429	0.641915	1.406965	1.056275	1.268516	1.278208	1.474083	1.797360	1.381563	5.017262	2.567183	1.446075	2.502576	1.175743	5.074075	1.748692	3.110943	1.827518	5.246666	1.609337	2.041451	8.300737	3.201886	8.544393	10.313865	5.135569	2.678432	7.724134	13.597717	4.373192	7.519128	2.739551	9.633911	4.397181	12.410108	9.396849	11.312399	5.923309	5.647410	1.555168	11.205884	12.101902	6.647221	11.000121	14.766919	11.448540	6.458738	14.827892	10.727165	11.818976	16.298171	12.695222	11.482136	17.444660	12.660670	14.456307	15.155886	16.157937	9.016906	14.695491	16.617813	9.400106	18.243139	11.527511	16.922130	17.349603	19.000092	12.985973	7.506390	17.756846	15.512519	14.361121	
